stem,width,height,aspect,megapixels,brightness,contrast,flag_dark,flag_low_cont,flag_tiny,any_flag
X00016469612,463,1013,2.19,0.469,244.8,35.6,False,True,False,True
X00016469619,439,1004,2.29,0.441,248.2,24.1,False,True,False,True
X00016469620,459,949,2.07,0.436,241.2,41.3,False,False,False,False
X00016469622,461,933,2.02,0.43,245.9,33.5,False,True,False,True
X00016469623,463,1026,2.22,0.475,246.0,24.8,False,True,False,True
X00016469669,463,605,1.31,0.28,240.6,41.5,False,False,False,False
X00016469672,457,1170,2.56,0.535,240.1,44.4,False,False,False,False
X00016469676,463,797,1.72,0.369,243.8,37.3,False,True,False,True
X51005200938,992,1403,1.41,1.392,250.5,33.6,False,True,False,True
X51005230617,604,1716,2.84,1.036,239.6,44.0,False,False,False,False
X51005255805,873,1656,1.9,1.446,180.8,48.1,False,False,False,False
X51005268200,752,2214,2.94,1.665,190.8,47.3,False,False,False,False
X51005268262,747,1412,1.89,1.055,197.2,45.2,False,False,False,False
X51005268400,807,1390,1.72,1.122,180.3,48.3,False,False,False,False
X51005268472,780,2044,2.62,1.594,183.0,45.0,False,False,False,False
X51005301659,747,1412,1.89,1.055,197.2,45.2,False,False,False,False
X51005301661,818,1924,2.35,1.574,191.9,43.7,False,False,False,False
X51005301667,835,2333,2.79,1.948,186.2,42.1,False,False,False,False
X51005303661,818,1924,2.35,1.574,191.9,43.7,False,False,False,False
X51005306399,447,915,2.05,0.409,246.3,28.4,False,True,False,True
X51005337872,623,1255,2.01,0.782,246.8,29.9,False,True,False,True
X51005361883,993,2481,2.5,2.464,236.5,50.4,False,False,False,False
X51005361895,953,1629,1.71,1.552,238.6,49.5,False,False,False,False
X51005361897,2481,3508,1.41,8.703,249.7,28.2,False,True,False,True
X51005361898,2481,3508,1.41,8.703,248.9,29.9,False,True,False,True
X51005361900,2481,3508,1.41,8.703,249.8,28.5,False,True,False,True
X51005361907,1654,2339,1.41,3.869,247.8,39.3,False,True,False,True
X51005361946,1654,2339,1.41,3.869,246.2,41.0,False,False,False,False
X51005361950,949,1349,1.42,1.28,238.8,33.6,False,True,False,True
X51005365179,748,1338,1.79,1.001,241.9,51.5,False,False,False,False
X51005433492,1080,1527,1.41,1.649,252.9,20.7,False,True,False,True
X51005433494,1080,1527,1.41,1.649,251.7,25.6,False,True,False,True
X51005433514,1080,1527,1.41,1.649,252.9,20.7,False,True,False,True
X51005433522,1080,1527,1.41,1.649,252.8,21.3,False,True,False,True
X51005433533,1080,1527,1.41,1.649,249.1,34.8,False,True,False,True
X51005433538,1080,1519,1.41,1.641,252.8,20.9,False,True,False,True
X51005433541,1080,1527,1.41,1.649,253.0,20.5,False,True,False,True
X51005433552,1080,1527,1.41,1.649,252.7,21.5,False,True,False,True
X51005433553,1080,1527,1.41,1.649,252.3,23.4,False,True,False,True
X51005441398,591,1711,2.9,1.011,251.0,15.1,False,True,False,True
X51005441401,619,1131,1.83,0.7,248.7,24.8,False,True,False,True
X51005441402,619,1203,1.94,0.745,247.5,28.8,False,True,False,True
X51005441407,627,1235,1.97,0.774,247.3,28.0,False,True,False,True
X51005441408,627,1535,2.45,0.962,249.1,24.2,False,True,False,True
X51005442327,1080,1527,1.41,1.649,252.8,21.5,False,True,False,True
X51005442333,1080,1528,1.41,1.65,252.6,22.0,False,True,False,True
X51005442338,1080,1527,1.41,1.649,252.3,23.0,False,True,False,True
X51005442341,1080,1527,1.41,1.649,253.8,15.7,False,True,False,True
X51005442344,1080,1527,1.41,1.649,251.8,25.5,False,True,False,True
X51005442346,1080,1527,1.41,1.649,251.2,27.9,False,True,False,True
X51005442361,1080,1528,1.41,1.65,251.2,26.7,False,True,False,True
X51005442376,1080,1528,1.41,1.65,252.8,20.9,False,True,False,True
X51005442378,1080,1528,1.41,1.65,244.9,38.6,False,True,False,True
X51005442379,1080,1528,1.41,1.65,252.7,21.2,False,True,False,True
X51005442383,1080,1528,1.41,1.65,250.1,31.8,False,True,False,True
X51005442384,1080,1528,1.41,1.65,252.8,20.5,False,True,False,True
X51005442386,1080,1528,1.41,1.65,252.8,20.8,False,True,False,True
X51005442392,1080,1527,1.41,1.649,253.1,19.7,False,True,False,True
X51005442394,1080,1527,1.41,1.649,253.0,20.6,False,True,False,True
X51005442397,1080,1527,1.41,1.649,253.5,17.3,False,True,False,True
X51005444033,789,1772,2.25,1.398,236.0,48.6,False,False,False,False
X51005444037,792,2748,3.47,2.176,244.2,35.5,False,True,False,True
X51005444045,753,1305,1.73,0.983,243.7,28.1,False,True,False,True
X51005447832,664,1664,2.51,1.105,242.7,35.1,False,True,False,True
X51005447833,668,1598,2.39,1.067,240.8,38.1,False,True,False,True
X51005447839,936,1766,1.89,1.653,241.4,39.3,False,True,False,True
X51005447840,932,2160,2.32,2.013,237.5,43.8,False,False,False,False
X51005447848,932,1987,2.13,1.852,245.6,31.0,False,True,False,True
X51005447850,932,1771,1.9,1.651,238.1,43.1,False,False,False,False
X51005447852,888,1571,1.77,1.395,227.9,40.7,False,False,False,False
X51005447853,888,1718,1.93,1.526,228.6,42.7,False,False,False,False
X51005447860,928,2130,2.3,1.977,238.6,42.9,False,False,False,False
X51005447861,932,2683,2.88,2.501,233.3,46.1,False,False,False,False
X51005453729,615,931,1.51,0.573,246.8,29.2,False,True,False,True
X51005453801,583,1303,2.23,0.76,251.4,14.5,False,True,False,True
X51005453802,615,931,1.51,0.573,244.5,33.6,False,True,False,True
X51005453804,619,875,1.41,0.542,246.4,30.5,False,True,False,True
X51005568827,944,2439,2.58,2.302,235.8,46.4,False,False,False,False
X51005568829,936,1841,1.97,1.723,228.0,44.5,False,False,False,False
X51005568880,932,2220,2.38,2.069,237.2,34.4,False,True,False,True
X51005568881,884,1678,1.9,1.483,222.6,34.6,False,True,False,True
X51005568884,936,1676,1.79,1.569,238.4,40.9,False,False,False,False
X51005568891,884,2249,2.54,1.988,231.8,50.1,False,False,False,False
X51005568898,936,2785,2.98,2.607,224.8,35.0,False,True,False,True
X51005568899,932,1644,1.76,1.532,241.7,34.0,False,True,False,True
X51005568900,936,1681,1.8,1.573,233.3,32.6,False,True,False,True
X51005568911,932,2067,2.22,1.926,237.8,33.2,False,True,False,True
X51005568913,932,2168,2.33,2.021,232.1,37.3,False,True,False,True
X51005568914,932,2246,2.41,2.093,234.6,36.2,False,True,False,True
X51005577192,710,2020,2.85,1.434,241.6,42.0,False,False,False,False
X51005587254,963,2260,2.35,2.176,190.8,45.6,False,False,False,False
X51005587267,853,2537,2.97,2.164,188.4,47.4,False,False,False,False
X51005605284,793,1373,1.73,1.089,240.0,53.9,False,False,False,False
X51005605285,697,1481,2.12,1.032,235.8,59.5,False,False,False,False
X51005605286,741,1509,2.04,1.118,234.6,62.0,False,False,False,False
X51005605333,681,1737,2.55,1.183,234.8,51.7,False,False,False,False
X51005605334,761,1713,2.25,1.304,239.7,52.0,False,False,False,False
X51005605335,741,1733,2.34,1.284,243.0,47.5,False,False,False,False
X51005663272,704,1883,2.67,1.326,193.8,46.9,False,False,False,False
X51005663273,814,1477,1.81,1.202,191.2,45.9,False,False,False,False
X51005663276,937,1449,1.55,1.358,171.7,72.1,False,False,False,False
X51005663277,937,1450,1.55,1.359,169.7,74.0,False,False,False,False
X51005663278,804,2157,2.68,1.734,193.5,39.6,False,True,False,True
X51005663279,943,1871,1.98,1.764,241.1,44.0,False,False,False,False
X51005663280,782,2213,2.83,1.731,195.1,39.8,False,True,False,True
X51005663293,713,2066,2.9,1.473,194.6,40.6,False,False,False,False
X51005663297,937,3556,3.8,3.332,237.3,51.4,False,False,False,False
X51005663298,934,2732,2.93,2.552,246.2,31.7,False,True,False,True
X51005663301,933,1697,1.82,1.583,238.2,54.8,False,False,False,False
X51005663311,936,1698,1.81,1.589,247.7,27.8,False,True,False,True
X51005663317,935,1695,1.81,1.585,248.9,25.5,False,True,False,True
X51005663324,934,2789,2.99,2.605,243.1,38.2,False,True,False,True
X51005675095,741,1220,1.65,0.904,181.9,54.3,False,False,False,False
X51005676536,933,2079,2.23,1.94,243.0,39.0,False,True,False,True
X51005676538,932,2172,2.33,2.024,243.0,41.1,False,False,False,False
X51005676539,933,1861,1.99,1.736,243.1,36.0,False,True,False,True
X51005676540,940,2077,2.21,1.952,241.3,43.4,False,False,False,False
X51005676541,932,2169,2.33,2.022,243.6,37.6,False,True,False,True
X51005676543,935,1970,2.11,1.842,240.3,44.1,False,False,False,False
X51005676544,935,1861,1.99,1.74,240.9,43.1,False,False,False,False
X51005676545,934,1860,1.99,1.737,241.5,40.6,False,False,False,False
X51005676546,935,1864,1.99,1.743,241.9,40.9,False,False,False,False
X51005676547,932,1864,2.0,1.737,241.8,42.9,False,False,False,False
X51005676549,932,1973,2.12,1.839,243.5,37.2,False,True,False,True
X51005677328,935,1865,1.99,1.744,243.4,38.0,False,True,False,True
X51005677329,938,1864,1.99,1.748,242.1,41.1,False,False,False,False
X51005677331,934,2081,2.23,1.944,242.9,39.5,False,True,False,True
X51005677332,935,1859,1.99,1.738,243.5,38.8,False,True,False,True
X51005677334,932,1975,2.12,1.841,242.1,41.2,False,False,False,False
X51005677335,938,1972,2.1,1.85,241.3,43.6,False,False,False,False
X51005677339,934,1927,2.06,1.8,245.6,33.5,False,True,False,True
X51005685355,615,1403,2.28,0.863,245.2,31.4,False,True,False,True
X51005685357,623,1535,2.46,0.956,245.5,30.4,False,True,False,True
X51005705722,958,1816,1.9,1.74,180.8,64.6,False,False,False,False
X51005705760,892,2897,3.25,2.584,184.4,49.7,False,False,False,False
X51005705804,1263,2143,1.7,2.707,194.1,37.9,False,True,False,True
X51005711401,932,1907,2.05,1.777,242.8,36.2,False,True,False,True
X51005711403,932,1865,2.0,1.738,243.3,35.8,False,True,False,True
X51005711404,932,1780,1.91,1.659,238.6,45.3,False,False,False,False
X51005711441,932,1784,1.91,1.663,240.9,41.7,False,False,False,False
X51005711442,932,1869,2.01,1.742,243.9,34.9,False,True,False,True
X51005711445,932,1783,1.91,1.662,242.8,36.2,False,True,False,True
X51005711447,932,1692,1.82,1.577,241.9,37.9,False,True,False,True
X51005711451,932,1695,1.82,1.58,240.7,31.1,False,True,False,True
X51005711452,920,1929,2.1,1.775,242.2,36.4,False,True,False,True
X51005711453,920,1757,1.91,1.616,238.3,35.1,False,True,False,True
X51005711454,936,2283,2.44,2.137,237.2,36.8,False,True,False,True
X51005711456,936,2779,2.97,2.601,242.1,39.2,False,True,False,True
X51005712017,608,1214,2.0,0.738,240.1,43.8,False,False,False,False
X51005712021,584,1072,1.84,0.626,229.9,51.2,False,False,False,False
X51005712038,616,1192,1.94,0.734,229.7,56.3,False,False,False,False
X51005712039,616,1182,1.92,0.728,232.4,46.4,False,False,False,False
X51005715010,615,1727,2.81,1.062,234.1,68.7,False,False,False,False
X51005715451,615,1491,2.42,0.917,240.8,56.8,False,False,False,False
X51005715456,607,1295,2.13,0.786,234.9,67.3,False,False,False,False
X51005717526,600,1312,2.19,0.787,239.0,36.4,False,True,False,True
X51005719814,936,1617,1.73,1.514,236.0,47.4,False,False,False,False
X51005719856,932,2222,2.38,2.071,240.2,37.8,False,True,False,True
X51005719862,884,1424,1.61,1.259,191.8,47.7,False,False,False,False
X51005719864,884,1741,1.97,1.539,235.2,29.2,False,True,False,True
X51005719873,932,2852,3.06,2.658,233.3,56.4,False,False,False,False
X51005719874,932,1368,1.47,1.275,241.9,35.0,False,True,False,True
X51005719882,884,1610,1.82,1.423,225.2,38.5,False,True,False,True
X51005719883,884,1597,1.81,1.412,226.4,38.4,False,True,False,True
X51005719886,932,1708,1.83,1.592,238.6,42.3,False,False,False,False
X51005719893,936,2017,2.15,1.888,242.7,35.3,False,True,False,True
X51005719896,812,2864,3.53,2.326,129.3,20.5,False,True,False,True
X51005719899,932,1617,1.73,1.507,242.8,34.4,False,True,False,True
X51005719902,884,1963,2.22,1.735,242.7,29.0,False,True,False,True
X51005719904,932,1920,2.06,1.789,246.1,29.3,False,True,False,True
X51005719906,932,2253,2.42,2.1,241.5,39.9,False,True,False,True
X51005719912,816,2229,2.73,1.819,233.0,29.6,False,True,False,True
X51005719914,940,2594,2.76,2.438,231.8,28.2,False,True,False,True
X51005719917,932,2679,2.87,2.497,242.0,35.7,False,True,False,True
X51005722668,936,1858,1.99,1.739,241.6,41.2,False,False,False,False
X51005722699,936,2132,2.28,1.996,236.0,50.8,False,False,False,False
X51005724554,932,2132,2.29,1.987,236.4,45.9,False,False,False,False
X51005724621,932,2107,2.26,1.964,240.0,40.6,False,False,False,False
X51005724627,944,2105,2.23,1.987,235.1,50.4,False,False,False,False
X51005724629,928,2115,2.28,1.963,239.6,41.0,False,False,False,False
X51005741944,735,1889,2.57,1.388,239.4,56.2,False,False,False,False
X51005742068,831,1331,1.6,1.106,240.9,47.9,False,False,False,False
X51005745183,740,1173,1.59,0.868,233.5,67.0,False,False,False,False
X51005745187,744,1335,1.79,0.993,240.3,54.8,False,False,False,False
X51005745188,706,1659,2.35,1.171,235.5,63.6,False,False,False,False
X51005745190,744,1970,2.65,1.466,238.7,57.2,False,False,False,False
X51005745214,702,1466,2.09,1.029,232.3,68.9,False,False,False,False
X51005745249,740,1863,2.52,1.379,238.0,59.4,False,False,False,False
X51005745296,786,2184,2.78,1.717,246.4,30.3,False,True,False,True
X51005746140,744,1244,1.67,0.926,236.9,61.8,False,False,False,False
X51005749895,934,2132,2.28,1.991,242.9,32.6,False,True,False,True
X51005749905,942,2020,2.14,1.903,240.4,46.1,False,False,False,False
X51005749912,932,1838,1.97,1.713,239.7,38.8,False,True,False,True
X51005757199,711,1662,2.34,1.182,202.3,38.8,False,True,False,True
X51005757201,704,2587,3.67,1.821,191.2,48.8,False,False,False,False
X51005757235,706,1640,2.32,1.158,195.9,48.4,False,False,False,False
X51005757243,708,1652,2.33,1.17,199.8,40.0,False,False,False,False
X51005757248,705,1844,2.62,1.3,196.7,44.8,False,False,False,False
X51005757273,711,1313,1.85,0.934,198.1,47.2,False,False,False,False
X51005757286,710,1208,1.7,0.858,200.0,41.3,False,False,False,False
X51005757290,714,1463,2.05,1.045,191.6,52.2,False,False,False,False
X51005757294,710,1227,1.73,0.871,197.6,46.2,False,False,False,False
X51005757304,703,1784,2.54,1.254,196.2,40.6,False,False,False,False
X51005757323,710,1451,2.04,1.03,194.6,48.0,False,False,False,False
X51005757324,708,1330,1.88,0.942,196.2,47.6,False,False,False,False
X51005757346,708,1302,1.84,0.922,195.2,48.1,False,False,False,False
X51005757349,703,1373,1.95,0.965,206.9,43.9,False,False,False,False
X51005757351,703,1328,1.89,0.934,196.3,48.6,False,False,False,False
X51005757353,698,1448,2.07,1.011,195.8,49.3,False,False,False,False
X51005763940,740,1946,2.63,1.44,236.1,63.4,False,False,False,False
X51005806678,986,2559,2.6,2.523,206.3,41.2,False,False,False,False
X51005806679,986,2559,2.6,2.523,203.9,43.9,False,False,False,False
X51005806685,747,1180,1.58,0.881,212.2,50.4,False,False,False,False
X51005806698,687,1246,1.81,0.856,201.7,59.0,False,False,False,False
X51005806702,841,1424,1.69,1.198,209.3,49.1,False,False,False,False
X51005806703,864,1617,1.87,1.397,203.2,49.0,False,False,False,False
X51005806716,770,1290,1.68,0.993,212.2,48.1,False,False,False,False
X51005889296,619,1331,2.15,0.824,244.3,34.3,False,True,False,True
X51006008057,724,2007,2.77,1.453,184.7,56.1,False,False,False,False
X51006008073,813,1337,1.64,1.087,191.5,50.7,False,False,False,False
X51006008074,748,1457,1.95,1.09,205.2,36.9,False,True,False,True
X51006008086,754,1863,2.47,1.405,192.9,42.3,False,False,False,False
X51006008089,744,2177,2.93,1.62,190.7,41.9,False,False,False,False
X51006008091,746,1824,2.45,1.361,192.9,42.0,False,False,False,False
X51006008095,744,1286,1.73,0.957,189.5,47.6,False,False,False,False
X51006008197,746,768,1.03,0.573,196.9,55.2,False,False,False,False
X51006311758,949,2153,2.27,2.043,142.7,92.3,False,False,False,False
X51006311764,873,1733,1.99,1.513,158.8,84.4,False,False,False,False
X51006311767,932,2050,2.2,1.911,144.5,91.2,False,False,False,False
X51006311778,828,2022,2.44,1.674,144.3,81.8,False,False,False,False
X51006311779,807,2033,2.52,1.641,166.0,75.3,False,False,False,False
X51006311780,850,2023,2.38,1.72,158.5,79.5,False,False,False,False
X51006327976,741,1892,2.55,1.402,235.6,63.1,False,False,False,False
X51006327978,702,2053,2.92,1.441,238.2,59.0,False,False,False,False
X51006328913,725,1388,1.91,1.006,234.2,65.4,False,False,False,False
X51006328919,744,1458,1.96,1.085,240.5,55.8,False,False,False,False
X51006328920,742,1449,1.95,1.075,240.0,56.6,False,False,False,False
X51006329395,744,1458,1.96,1.085,240.4,55.9,False,False,False,False
X51006329399,703,1819,2.59,1.279,240.6,55.4,False,False,False,False
X51006329402,702,1433,2.04,1.006,237.7,57.2,False,False,False,False
X51006332575,703,1779,2.53,1.251,237.3,61.6,False,False,False,False
X51006332649,707,1722,2.44,1.217,241.2,50.1,False,False,False,False
X51006334699,696,2213,3.18,1.54,239.3,56.5,False,False,False,False
X51006334741,684,1674,2.45,1.145,236.4,60.5,False,False,False,False
X51006334926,729,1936,2.66,1.411,238.8,58.6,False,False,False,False
X51006335314,748,1574,2.1,1.177,241.1,53.3,False,False,False,False
X51006335547,705,1394,1.98,0.983,237.8,59.5,False,False,False,False
X51006335552,704,2452,3.48,1.726,240.4,52.2,False,False,False,False
X51006349086,522,954,1.83,0.498,232.3,67.2,False,False,False,False
X51006350750,700,1574,2.25,1.102,246.4,31.2,False,True,False,True
X51006350763,705,1564,2.22,1.103,243.1,42.8,False,False,False,False
X51006387740,740,1483,2.0,1.097,240.1,54.7,False,False,False,False
X51006387812,705,1877,2.66,1.323,242.8,48.2,False,False,False,False
X51006387813,740,2465,3.33,1.824,239.8,54.9,False,False,False,False
X51006387847,707,1688,2.39,1.193,229.4,72.7,False,False,False,False
X51006387850,709,1283,1.81,0.91,234.8,63.8,False,False,False,False
X51006387932,742,1196,1.61,0.887,236.5,46.7,False,False,False,False
X51006387951,523,1087,2.08,0.569,229.3,61.6,False,False,False,False
X51006387953,524,1078,2.06,0.565,230.1,58.6,False,False,False,False
X51006387971,704,1513,2.15,1.065,224.9,63.5,False,False,False,False
X51006388044,705,1474,2.09,1.039,239.0,43.8,False,False,False,False
X51006388064,708,1699,2.4,1.203,225.7,65.8,False,False,False,False
X51006388065,705,1276,1.81,0.9,235.2,44.0,False,False,False,False
X51006388066,738,1238,1.68,0.914,234.1,48.3,False,False,False,False
X51006388069,712,1957,2.75,1.393,235.0,45.2,False,False,False,False
X51006388082,701,1399,2.0,0.981,235.4,47.5,False,False,False,False
X51006389865,938,1961,2.09,1.839,246.3,30.9,False,True,False,True
X51006389884,888,2269,2.56,2.015,230.6,49.3,False,False,False,False
X51006389888,888,2276,2.56,2.021,224.8,52.4,False,False,False,False
X51006389893,890,2264,2.54,2.015,234.6,19.6,False,True,False,True
X51006389963,935,3296,3.53,3.082,243.3,41.6,False,False,False,False
X51006392122,708,1463,2.07,1.036,238.4,38.6,False,True,False,True
X51006392273,698,1372,1.97,0.958,241.1,24.1,False,True,False,True
X51006392299,751,1370,1.82,1.029,232.0,57.0,False,False,False,False
X51006392313,744,1787,2.4,1.33,238.5,39.3,False,True,False,True
X51006393376,594,1105,1.86,0.656,242.2,30.8,False,True,False,True
X51006393377,592,1563,2.64,0.925,241.4,29.8,False,True,False,True
X51006401723,735,1689,2.3,1.241,237.9,43.9,False,False,False,False
X51006401836,707,1230,1.74,0.87,237.5,39.0,False,True,False,True
X51006401869,708,1394,1.97,0.987,239.2,34.4,False,True,False,True
X51006401978,743,1454,1.96,1.08,234.5,52.2,False,False,False,False
X51006414392,4945,6981,1.41,34.521,252.7,22.2,False,True,False,True
X51006414394,4961,7016,1.41,34.806,252.0,26.8,False,True,False,True
X51006414429,4961,7016,1.41,34.806,253.0,22.2,False,True,False,True
X51006414431,4961,7016,1.41,34.806,253.1,21.1,False,True,False,True
X51006414470,4961,7016,1.41,34.806,252.8,22.6,False,True,False,True
X51006414483,4961,7016,1.41,34.806,252.8,22.8,False,True,False,True
X51006414485,4961,7016,1.41,34.806,252.7,23.3,False,True,False,True
X51006414519,4961,7016,1.41,34.806,253.3,20.4,False,True,False,True
X51006414533,4961,7016,1.41,34.806,253.2,20.5,False,True,False,True
X51006414599,4961,7016,1.41,34.806,250.2,33.9,False,True,False,True
X51006414631,4912,6888,1.4,33.834,252.6,23.1,False,True,False,True
X51006414633,4961,7016,1.41,34.806,253.0,22.1,False,True,False,True
X51006414636,4961,7016,1.41,34.806,253.7,17.2,False,True,False,True
X51006414638,4961,7016,1.41,34.806,252.1,26.2,False,True,False,True
X51006414671,4961,7016,1.41,34.806,252.9,22.5,False,True,False,True
X51006414674,4961,7016,1.41,34.806,251.7,28.3,False,True,False,True
X51006414675,4961,7016,1.41,34.806,251.8,27.8,False,True,False,True
X51006414677,4961,7016,1.41,34.806,251.4,29.3,False,True,False,True
X51006414679,4961,7016,1.41,34.806,252.7,23.5,False,True,False,True
X51006414680,4961,7016,1.41,34.806,251.8,27.5,False,True,False,True
X51006414700,4961,7016,1.41,34.806,250.7,31.7,False,True,False,True
X51006414703,4953,6993,1.41,34.636,249.9,33.6,False,True,False,True
X51006414711,4961,7016,1.41,34.806,251.6,28.2,False,True,False,True
X51006414712,4961,7016,1.41,34.806,251.6,28.5,False,True,False,True
X51006414713,4961,7016,1.41,34.806,251.1,30.5,False,True,False,True
X51006414714,4961,7016,1.41,34.806,252.6,23.9,False,True,False,True
X51006414718,4961,7016,1.41,34.806,251.4,29.5,False,True,False,True
X51006414719,4961,7016,1.41,34.806,251.5,29.0,False,True,False,True
X51006414720,4854,6724,1.39,32.638,252.8,21.4,False,True,False,True
X51006414721,4961,7016,1.41,34.806,251.6,28.6,False,True,False,True
